YYYROC,county,township,school_name
113 ,新北市 ,板橋區 ,新北市私立忠山幼兒園 
113 ,新北市 ,三重區 ,新北市私立啟文幼兒園 
113 ,桃園市 ,桃園區 ,桃園市立同德國民中學 
113 ,桃園市 ,中壢區 ,桃園市立龍興國民中學 
113 ,桃園市 ,楊梅區 ,桃園市立仁美國民中學 
113 ,桃園市 ,楊梅區 ,桃園市立富岡國民中學 
113 ,桃園市 ,觀音區 ,桃園市觀音區觀音國民小學 
113 ,桃園市 ,楊梅區 ,桃園市楊梅區瑞原國民小學 
113 ,桃園市 ,楊梅區 ,桃園市楊梅區楊心國民小學 
113 ,桃園市 ,龍潭區 ,桃園市龍潭區高原國民小學 
113 ,桃園市 ,平鎮區 ,桃園市平鎮區新勢國民小學 
113 ,桃園市 ,八德區 ,桃園市八德區八德國民小學 
113 ,桃園市 ,楊梅區 ,桃園市楊梅區瑞埔國民小學附設幼兒園 
113 ,桃園市 ,楊梅區 ,桃園市楊梅區大同國民小學附設幼兒園 
113 ,桃園市 ,楊梅區 ,桃園市楊梅區上田國民小學附設幼兒園 
113 ,桃園市 ,龍潭區 ,桃園市立龍潭幼兒園 
113 ,桃園市 ,新屋區 ,桃園市立新屋幼兒園 
113 ,桃園市 ,平鎮區 ,桃園市立平鎮幼兒園南勢分班 
113 ,桃園市 ,平鎮區 ,桃園市私立小奶爸幼兒園 
113 ,桃園市 ,新屋區 ,桃園市私立新奇屋幼兒園 
113 ,桃園市 ,新屋區 ,桃園市私立新學屋幼兒園 
113 ,桃園市 ,大園區 ,桃園市私立溪海大自然幼兒園 
113 ,新竹縣 ,新埔鎮 ,新竹縣私立源興幼兒園 
113 ,新竹縣 ,新埔鎮 ,新竹縣新埔鎮枋寮國民小學附設幼兒園 
113 ,新竹縣 ,峨眉鄉 ,新竹縣峨眉鄉峨眉國民小學附設幼兒園 
113 ,新竹縣 ,關西鎮 ,新竹縣關西鎮石光國民小學附設幼兒園 
113 ,新竹縣 ,橫山鄉 ,新竹縣橫山鄉橫山國民小學附設幼兒園 
113 ,新竹縣 ,橫山鄉 ,新竹縣橫山鄉田寮國民小學附設幼兒園 
113 ,新竹縣 ,竹東鎮 ,新竹縣立竹東幼兒園 
